Date,High,Low,Open,Close,Volume,Adj Close,Total Traded,MA10,Returns
2020-12-31,87.875,86.80449676513672,86.8635025024414,87.63200378417969,21070000,87.63200378417969,1830213997.7264404,,
2021-01-04,88.12449645996094,85.35700225830078,88.0,86.30650329589844,37324000,86.30650329589844,3284512000.0,,-0.015125758068315953
2021-01-05,87.34149932861328,85.84500122070312,86.25450134277344,87.00250244140625,20360000,87.00250244140625,1756141647.3388672,,0.008064272319336263
2021-01-06,87.19850158691406,84.80500030517578,85.01300048828125,86.14399719238281,46588000,86.14399719238281,3960585666.748047,,-0.00986759259713954
2021-01-07,88.89099884033203,86.33799743652344,86.33799743652344,88.71700286865234,41936000,88.71700286865234,3620670260.498047,,0.029868658991099695
2021-01-08,89.96800231933594,88.06099700927734,88.85800170898438,89.8915023803711,35484000,89.8915023803711,3153037332.6416016,,0.013238719453334324
2021-01-11,89.21900177001953,87.60700225830078,88.85099792480469,87.81449890136719,34796000,87.81449890136719,3091659323.791504,,-0.023105670992294436
2021-01-12,88.3949966430664,85.81900024414062,87.26799774169922,86.87149810791016,29528000,86.87149810791016,2576849437.3168945,,-0.010738554626568031
2021-01-13,87.81950378417969,86.36599731445312,86.36599731445312,87.36250305175781,23432000,87.36250305175781,2023728049.0722656,,0.005652083301680211
2021-01-14,88.37750244140625,86.30349731445312,87.44349670410156,86.5459976196289,29212000,86.5459976196289,2554399425.720215,,-0.009346177176782211
2021-01-15,87.38099670410156,85.58550262451172,86.45099639892578,86.38099670410156,31444000,86.38099670410156,2718365130.7678223,,-0.0019065112202244494
2021-01-19,90.19200134277344,86.6415023803711,87.1500015258789,89.22350311279297,41660000,89.22350311279297,3630669063.568115,,0.03290661739443013
2021-01-20,94.98600006103516,90.97550201416016,91.31849670410156,94.00350189208984,64152000,94.00350189208984,5858264200.561523,,0.05357331434581969
2021-01-21,96.60399627685547,93.97049713134766,94.68250274658203,94.2074966430664,58634000,94.2074966430664,5551613866.043091,,0.002170076080896921
2021-01-22,95.21949768066406,93.82499694824219,94.572998046875,94.62799835205078,32744000,94.62799835205078,3096698248.046875,,0.004463569503152964
2021-01-25,96.09100341796875,92.95800018310547,95.63700103759766,94.71399688720703,50586000,94.71399688720703,4837893334.487915,,0.0009088064489781722
2021-01-26,95.7874984741211,93.80650329589844,94.29949951171875,95.39749908447266,31462000,95.39749908447266,2966850853.6376953,,0.007216485627563607
2021-01-27,94.02349853515625,89.86399841308594,93.74549865722656,90.9469985961914,82512000,90.9469985961914,7735128585.205078,,-0.04665217150336842
2021-01-28,94.39949798583984,91.55000305175781,91.55000305175781,92.66000366210938,55278000,92.66000366210938,5060701068.695068,,0.018835201736824514
2021-01-29,92.37699890136719,90.0780029296875,91.70099639892578,91.36799621582031,44530000,91.36799621582031,4083445369.644165,,-0.013943528979347475
2021-02-01,95.7770004272461,92.22949981689453,92.22949981689453,94.65350341796875,40252000,94.65350341796875,3712421826.6296387,,0.035959059388669834
2021-02-02,97.46849822998047,95.31849670410156,95.65650177001953,95.95600128173828,66332000,95.95600128173828,6345087075.408936,,0.01376069365354593
2021-02-03,105.33100128173828,100.67749786376953,103.28050231933594,102.94400024414062,97882000,102.94400024414062,10109302128.02124,,0.07282503302617571
2021-02-04,103.46499633789062,101.75499725341797,103.03099822998047,102.68150329589844,48596000,102.68150329589844,5006894389.984131,,-0.002549900408179706
2021-02-05,104.7969970703125,102.5,102.97799682617188,104.44149780273438,29866000,104.44149780273438,3075540853.210449,,0.017140326644460302
2021-02-08,105.75,103.1675033569336,105.0,104.22599792480469,28828000,104.22599792480469,3026940000.0,,-0.0020633549160383735
2021-02-09,104.92549896240234,103.5,103.73999786376953,103.76950073242188,21892000,103.76950073242188,2271076033.2336426,,-0.004379878355419198
2021-02-10,104.94400024414062,102.61199951171875,104.15699768066406,104.3239974975586,25102000,104.3239974975586,2614548955.7800293,,0.0053435427676049585
2021-02-11,104.69999694824219,103.44300079345703,104.55000305175781,104.4375,20480000,104.4375,2141184062.5,,0.0010879807634294192
2021-02-12,104.9749984741211,103.67849731445312,103.9885025024414,104.75150299072266,18990000,104.75150299072266,1974741662.5213623,,0.003006611520983027
2021-02-16,107.25700378417969,104.5875015258789,104.5875015258789,105.53500366210938,31004000,105.53500366210938,3242630897.3083496,,0.0074796126930618545
2021-02-17,106.12200164794922,104.4175033569336,104.6989974975586,105.93099975585938,20294000,105.93099975585938,2124761455.215454,,0.00375227251630994
2021-02-18,106.09950256347656,104.66649627685547,105.25,105.29049682617188,22546000,105.29049682617188,2372966500.0,,-0.0060464163574749374
2021-02-19,105.92900085449219,104.17150115966797,105.3895034790039,104.44049835205078,37938000,104.44049835205078,3998266982.98645,,-0.008072888814689372
2021-02-22,104.0165023803711,102.4000015258789,102.68000030517578,102.71299743652344,29466000,102.71299743652344,3025568888.9923096,,-0.016540527312539632
2021-02-23,103.625,99.5114974975586,100.69950103759766,103.00599670410156,34658000,103.00599670410156,3490043306.9610596,,0.0028526016657162145
2021-02-24,104.41600036621094,101.37650299072266,101.50199890136719,104.19049835205078,22608000,104.19049835205078,2294757191.1621094,,0.011499346502629848
2021-02-25,104.1500015258789,100.32450103759766,102.79650115966797,100.79750061035156,41548000,100.79750061035156,4270989030.181885,,-0.03256532788848532
